State,colonies,Maximum_colonies1,Lost_colonies,Percent_lost2,Added_colonies,Renov_colonies3,Percent_renov4,Year,Qtr,Varroa_mites,Other_parasites,Diseases,Pestticides,Other3,Unknown,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2010
CT,3200,3200,210,7,40,70,2,2015,Q4,10.5,1.7,0.5,1.1,3.4,2,3587122,3578141,3573297,3571520,3565287,3574147
FL,220000,260000,37000,14,30000,28000,11,2015,Q4,27.3,18.4,2.5,6.8,3,4.2,20209042,20613477,20963613,21244317,21477737,18804564
GA,110000,121000,18000,15,4400,1900,2,2015,Q4,43.5,13.9,5.3,4.5,3.7,1.3,10178447,10301890,10410330,10511131,10617423,9688729
HI,13000,13000,690,5,2700,760,6,2015,Q4,31,33.9,0.2,0,0,0,1422052,1427559,1424393,1420593,1415872,1360307
ID,121000,145000,22000,15,5500,5500,4,2015,Q4,38.9,0.6,4.3,4,2.8,4.5,1651059,1682380,1717715,1750536,1787065,1567657
IL,14000,14000,690,5,0,30,0,2015,Q4,9.4,2.5,0.3,0.9,1,3.1,12858913,12820527,12778828,12723071,12671821,12831572
IN,11500,11500,1100,10,140,0,0,2015,Q4,15.1,0.5,6.3,0.1,0.6,3.7,6608422,6634304,6658078,6695497,6732219,6484051
IA,35000,35000,4300,12,40,30,0,2015,Q4,53.4,0.9,0.6,6.4,24.8,1.4,3120960,3131371,3141550,3148618,3155070,3046871
KS,8500,8500,3400,40,50,20,0,2015,Q4,44.5,24.8,0.2,25.1,33.9,19,2909011,2910844,2908718,2911359,2913314,2853123
KY,8500,8500,1100,13,20,10,0,2015,Q4,22.2,14.8,0.4,9.8,7.2,1.7,4425976,4438182,4452268,4461153,4467673,4339333
LA,55000,71000,4900,7,1100,2400,3,2015,Q4,10.9,1,0,0.6,2.4,0.2,4664628,4678135,4670560,4659690,4648794,4533487
ME,4700,4700,60,1,530,20,0,2015,Q4,18,0.2,0,0,0.1,0.4,1328262,1331317,1334612,1339057,1344212,1328358
MD,7500,9500,730,8,0,0,0,2015,Q4,5.6,2,0.1,0,0.2,4.3,5985562,6003323,6023868,6035802,6045680,5773794
MA,4500,4500,260,6,30,30,1,2015,Q4,31.4,1.6,6.2,1.9,2.6,1.1,6794228,6823608,6859789,6882635,6892503,6547785
MI,67000,73000,9000,12,210,1600,2,2015,Q4,30.2,4.1,0,4.1,3.2,3.7,9931715,9950571,9973114,9984072,9986857,9884116
MN,104000,105000,10000,10,600,40,0,2015,Q4,43.6,8.7,8.4,25,3.8,8.9,5482032,5522744,5566230,5606249,5639632,5303927
MS,31000,34000,1500,4,500,230,1,2015,Q4,10.6,2.5,0.3,0,0.7,1.3,2988471,2987938,2988510,2981020,2976149,2968130
MO,13500,13500,690,5,30,40,0,2015,Q4,2.8,6,3.3,0.1,0.8,1.5,6071732,6087135,6106670,6121623,6137428,5988950
MT,116000,123000,10000,8,1000,80,0,2015,Q4,35.5,19.8,14.4,11.4,3.2,13.9,1030475,1040859,1052482,1060665,1068778,989407
